size,mflop
31,8413.74
32,9243.57
96,9897.36
97,10511.5
127,9959.9
128,9638.99
129,10111.8
191,9980.5
192,9502.01
229,10361.6
255,9917.42
256,8614.02
257,9161.38
319,10096.6
320,9489.72
321,10047.3
417,10041.9
479,9825.29
480,9403.46
511,8108.13
512,7328.32
639,10067.2
640,9223.81
767,9520.96
768,8612.37
769,9541.41
1023,8111.81
1024,7262.1
1025,8294.39
1525,9926.5
1526,10596.7
1527,9868.61
