size,mflop
31,3680.81
32,4621.48
96,5419.61
97,4681.28
127,4696.48
128,5334.95
129,4797.35
191,3924.88
192,4294.15
229,3779.19
255,3795.13
256,4088.42
257,3840.38
319,3908.11
320,3342.56
321,3375.37
417,3796.25
479,3906.55
480,4072.35
511,3946.1
512,4206.04
639,3940.4
640,4057.92
767,3935.7
768,3877.81
769,3680.42
1023,1020.52
1024,871.419
1025,904.976
1525,865.423
1526,950.927
1527,1104.8
