size,mflop
31,3397.87
32,3994.31
96,5294.29
97,4059.22
127,3998.89
128,4876.01
129,4088.25
191,4151.49
192,5124.23
229,4064.01
255,3961.55
256,4796.93
257,3998.05
319,4063.71
320,4976.51
321,4109.05
417,4122.05
479,4174.43
480,5144.76
511,3146.84
512,3681.17
639,4093.13
640,5054.39
767,4135.49
768,5121.65
769,4137.95
1023,2914.39
1024,3477.41
1025,2939.58
1525,4061.49
1526,4826.9
1527,4054.96
