size,mflop
31,7096.4
32,7423.01
96,9093.96
97,8964.19
127,9070.87
128,9129.31
129,9074.92
191,8823.23
192,8974.77
229,8885.7
255,8884.79
256,8874.65
257,8765.94
319,9125.52
320,9386.44
321,9293.42
417,9562.9
479,9593.64
480,9490.64
511,9174.5
512,9290.67
639,9539.45
640,9450.74
767,9492.07
768,9518.08
769,9599.67
1023,9551.2
1024,9412.22
1025,9213.74
1525,9776.93
1526,9872.1
1527,9684.69
