size,mflop
31,1546.91
32,1523.85
96,1514.49
97,1682.01
127,1696.04
128,1201.33
129,1696.6
191,1542.01
192,1277.16
229,1488.94
255,1487.09
256,841.612
257,1493.98
319,1515.55
320,1202.63
321,1479.54
417,1494.88
479,1464.69
480,1319.2
511,1482.96
512,643.049
639,1356.49
640,888.796
767,389.815
768,240.857
769,147.119
1023,152.209
1024,227.698
1025,1237.78
1525,564.229
1526,751.653
1527,629.989
