size,mflop
31,15507.7
32,19619.4
96,28157.1
97,28174.7
127,26224.5
128,27938.1
129,27878.1
191,29436.7
192,31642.7
229,31901.9
255,31555.3
256,32131.5
257,30192.6
319,31668
320,33537
321,32723.8
417,34725.2
479,34704.5
480,35574.6
511,33138.3
512,33313.5
639,34816.6
640,35193.2
767,34270.5
768,34735.9
769,33800
1023,34000.2
1024,33556.7
1025,33965.4
1525,35827.1
1526,36078.7
1527,35324.9
