size,mflop
31,2555.23
32,3126.19
96,3846.91
97,3770.74
127,3749.82
128,1777.33
129,3890.54
191,3020.4
192,1806.86
229,2815.29
255,2848.53
256,807.101
257,2918.66
319,2812.62
320,1778.38
321,2832.24
417,2815.79
479,2328.78
480,1787.85
511,2691.45
512,469.012
639,1527.38
640,736.532
767,1091.87
768,460.806
769,1649.84
1023,1222.91
1024,601.842
1025,1638.92
1525,1412.42
1526,1399.32
1527,1556.58
