size,mflop
31,4037.31
32,4384.68
96,9502.31
97,5036.06
127,10970.1
128,11311
129,6860.45
191,13725.1
192,13955.9
229,11407
255,15573.3
256,15470.2
257,11157.5
319,15986.5
320,16171.7
321,12765.1
417,14337.2
479,17642.4
480,17781.1
511,17872.4
512,17969.9
639,19153.4
640,19257.6
767,19660.9
768,19728.8
769,17650.3
1023,20349.1
1024,20303.7
1025,18769.7
1525,20942.7
1526,21074.7
1527,21137.1
