size,mflop
31,1991.24
32,2054.71
96,2027.27
97,2121.81
127,2175.79
128,1834.01
129,2133.28
191,2211.78
192,1919.05
229,2195.46
255,2237.01
256,1574.68
257,2165.52
319,2232.82
320,1909.29
321,2213.36
417,2215.54
479,2230.99
480,2001.24
511,2100.69
512,1122.51
639,2212.92
640,1785.78
767,2172.9
768,1571.13
769,2157.89
1023,2038.04
1024,1100.17
1025,2061.76
1525,1977.14
1526,2076.81
1527,2013.24
